Date,SM MC-CO,SM MC-CO2,H3 MC,H3 MC-CO,CV MC,HW MC,LN MC,SF MC,HV MC,BV MC,HA MC,RP MC,UT MC,IP MC,EN MC,NR MC,ED MC,RS MC,RS MC-CO,V4 MC,HC MC,LP MC,P2 MC
1/1/2022 0:00,10.0628656,11.7033111,1.55632629,0.415907639,3.43028848,61.56473932,6.41899613,1.44570023,2.8052938,7.15055197,74.6730817,5.2075084,5.90001227,0.506939449,1.23904709,6.3740085,2.53090251,1.43756444,1.33299958,0.583975921,0.664203013,,
1/1/2022 1:00,10.3222918,9.64339387,1.15653373,0.246325711,1.16606291,5.824851356,6.37670831,1.72879045,0.505807156,3.08000312,2.59201115,3.48905591,2.20111752,0.613633871,1.34225361,2.84824373,1.10850206,1.62858242,1.51552893,1.32431754,0.673628629,,
1/1/2022 2:00,9.4567957,7.89366889,1.13621274,0.229521615,0.988820644,4.31555339,5.03962477,2.0529298,0.628113771,4.83340572,1.67662836,5.48983544,2.67902075,0.702823363,2.9459414,2.3383011,0.558369409,6.63571904,6.55905055,0.885010054,0.628255839,,
1/1/2022 3:00,10.5534983,8.91824739,1.37416248,0.337411554,1.35208567,2.607723051,2.93665877,1.92907208,0.84983214,2.01109334,1.02345432,2.34377035,1.50653536,0.556254192,1.1494648,4.65807473,0.556278504,2.29223001,2.33023523,0.753203339,0.640586065,,
1/1/2022 4:00,7.40350256,6.15644426,1.53218609,0.394351826,0.901539632,2.105969492,5.94691691,2.20387106,0.949832439,1.54375724,0.735334397,1.84675786,1.4101019,0.768039258,0.618659732,1.83796813,0.947257188,1.28175016,1.47241212,1.68498081,0.636286011,,
1/1/2022 5:00,9.7046876,8.16097622,1.65814585,0.448315794,0.993824319,1.875902881,6.65162184,2.5034886,1.47542838,1.72902058,0.719899948,2.27694022,1.43026648,1.46513453,0.773565332,1.97209931,2.64237736,1.56027956,1.75223121,1.37312287,0.694548666,,
1/1/2022 6:00,7.88419847,7.04245703,2.28526119,0.754634988,1.28381218,2.468898475,3.91842803,1.83906193,1.41478607,2.14528891,0.980689053,2.62416561,1.91048237,2.05956833,0.76603865,4.43397804,6.58318395,1.14503129,1.50306078,1.10924313,0.706135974,,
1/1/2022 7:00,4.39195023,4.12803622,2.82251446,1.04125997,1.62313019,3.421707627,1.65462269,1.83294949,1.89064451,1.91346399,1.49481456,4.19555752,6.17349701,2.42053256,0.924963965,3.14390909,2.9066114,1.54360744,1.81164781,0.699335889,0.660437588,,
1/1/2022 8:00,6.71003822,6.11619596,3.01119351,1.10914329,3.15690015,2.860644746,3.67517619,2.70078234,2.39203727,4.0774202,1.51889473,4.39857148,4.93790183,2.5358885,1.20589308,5.45658914,4.17409693,4.5989881,4.0521005,0.820444418,0.638299293,,
1/1/2022 9:00,9.20916133,8.964263,3.18832615,1.26233579,3.80034899,2.893360847,2.73838471,3.37168839,3.9753632,3.93911713,1.15146807,3.94269165,4.96028681,1.95634055,1.05873429,13.2796229,13.7383621,2.59769847,2.51145553,1.51991603,0.728405032,,
1/1/2022 10:00,8.89232461,8.49272872,3.27264892,1.33411472,4.20095068,3.908501695,7.65506023,7.02969371,2.16159544,7.40799892,1.07438524,3.63888757,3.96991797,1.74125116,0.898432262,7.40445517,14.1358542,0.528143459,0.923595567,1.07372156,0.700871718,,
1/1/2022 11:00,7.78526915,7.0740413,3.29671416,1.42443329,4.59748254,3.852758475,7.52898887,7.19902928,2.16576499,5.7367612,1.09794916,3.51166478,3.66299974,1.79828646,1.26003315,7.36355841,14.4442792,0.673747483,0.893170406,0.626044267,0.740301366,,
1/1/2022 12:00,7.51295882,6.88235995,3.29035552,1.50678007,3.5763242,3.163860508,5.43422006,5.37784294,2.65869146,4.63338572,0.994019272,3.43109417,3.3921699,1.68898482,0.862409127,6.09890738,8.40208299,0.452525346,0.58850868,0.582670596,0.673636787,,
1/1/2022 13:00,7.44198801,7.02133256,3.80450803,1.87011984,3.02009056,2.721325763,4.90157482,4.85426168,2.47730683,4.19575764,0.869358925,3.01339736,3.32102265,1.61456048,1.17939327,5.38493139,7.10234958,1.24073969,1.0425581,0.652592001,0.723909334,,
1/1/2022 14:00,8.05989426,7.59329139,3.23059321,1.57736947,3.88580684,2.475699831,5.09135726,4.84537719,2.0089414,4.22592464,1.06435425,2.69621065,2.59697956,1.28403161,0.88599331,3.60863453,5.81662352,0.694005392,0.580514303,0.828508748,0.719196265,,
