December 2022 Contiguous U.S. Statewide Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,"Alabama",4.46,55,-0.69,5.15
2,"Arizona",1.47,89,0.29,1.18
3,"Arkansas",5.18,88,0.81,4.37
4,"California",6.39,113,2.78,3.61
5,"Colorado",1.58,110,0.5,1.08
6,"Connecticut",5.03,92,1.03,4
7,"Delaware",4.48,97,1.02,3.46
8,"Florida",1.93,42,-0.77,2.7
9,"Georgia",3.14,39,-0.93,4.07
10,"Idaho",3.62,99,0.72,2.9
11,"Illinois",2.37,75,0.04,2.33
12,"Indiana",2.28,47,-0.57,2.85
13,"Iowa",1.69,105,0.58,1.11
14,"Kansas",0.74,65,-0.11,0.85
15,"Kentucky",3.74,58,-0.32,4.06
16,"Louisiana",6.9,107,1.43,5.47
17,"Maine",5.53,117,2,3.53
18,"Maryland",4.46,101,1.17,3.29
19,"Massachusetts",5.39,104,1.55,3.84
20,"Michigan",1.98,69,-0.03,2.01
21,"Minnesota",1.9,125,1.09,0.81
22,"Mississippi",6.29,91,0.72,5.57
23,"Missouri",2.16,62,-0.15,2.31
24,"Montana",1.56,95,0.27,1.29
25,"Nebraska",1.01,106,0.41,0.6
26,"Nevada",2.12,122,1.1,1.02
27,"New Hampshire",5.96,116,2.38,3.58
28,"New Jersey",4.78,95,1.08,3.7
29,"New Mexico",0.63,66,-0.11,0.74
30,"New York",4.25,110,1.13,3.12
31,"North Carolina",3.4,58,-0.27,3.67
32,"North Dakota",1.49,129,1,0.49
33,"Ohio",1.71,18,-1.04,2.75
34,"Oklahoma",1.91,86,0.19,1.72
35,"Oregon",5.71,82,0.88,4.83
36,"Pennsylvania",3.69,89,0.58,3.11
37,"Rhode Island",6.29,112,2.12,4.17
38,"South Carolina",3.31,65,-0.3,3.61
39,"South Dakota",1.42,129,0.94,0.48
40,"Tennessee",5.87,85,0.92,4.95
41,"Texas",1.36,50,-0.42,1.78
42,"Utah",1.78,112,0.67,1.11
43,"Vermont",4.28,106,1.13,3.15
44,"Virginia",3.89,90,0.67,3.22
45,"Washington",6.98,78,0.51,6.47
46,"West Virginia",2.52,31,-0.9,3.42
47,"Wisconsin",2.13,116,0.86,1.27
48,"Wyoming",1.34,104,0.33,1.01
