"name","code","region","june_means","june_2022","june_2023","december_means","december_2022","december_2023"
"Alabama","AL","South",77.5,80.4,76.7,46.4,49.1,49
"Arizona","AZ","West",74.4,78.6,72.4,41.5,42.8,45.8
"Arkansas","AR","South",76.5,78.1,77.2,41.5,43.2,46.2
"California","CA","West",68.3,71.9,66.8,43.1,43.5,48
"Colorado","CO","West",61.2,64.4,60.1,25.2,25.7,30.8
"Connecticut","CT","Northeast",65.4,66.3,65.5,29.2,33.5,38.8
"Delaware","DE","South",70.7,72.4,70,36.2,37.8,44
"Florida","FL","South",79.5,82,80.4,58.8,61.5,61.6
"Georgia","GA","South",77.4,80.1,75.7,47.1,49.1,50.5
"Idaho","ID","West",56.7,57.3,57.2,23.9,22.8,30.1
"Illinois","IL","Midwest",71.4,73.5,71.5,29.4,30.3,39.7
"Indiana","IN","Midwest",70.5,72.1,69.3,30.3,31.7,40.1
"Iowa","IA","Midwest",69.1,71.6,71.3,22.7,21.3,34.7
"Kansas","KS","Midwest",73.4,75.8,73.4,31.5,30.6,39.2
"Kentucky","KY","South",72.6,74,70.2,36.2,37.8,42.6
"Louisiana","LA","South",79.8,82.7,82.1,50.9,54.1,53.4
"Maine","ME","Northeast",59.8,60.1,59.9,18.7,27.6,28.9
"Maryland","MD","South",70.6,72.1,69.2,35.3,36.5,42.7
"Massachusetts","MA","Northeast",64.4,65.6,64.6,28.1,33.1,37.8
"Michigan","MI","Midwest",63.3,65,64.7,23.3,26.9,35.3
"Minnesota","MN","Midwest",63.7,66.2,68.9,12.9,12.5,30
"Mississippi","MS","South",78.3,81.2,79.2,46.8,50.1,50.6
"Missouri","MO","Midwest",73,75.3,73.9,33,33.1,42.1
"Montana","MT","West",58.3,58.5,60.4,20.6,14.6,31.4
"Nebraska","NE","Midwest",68.3,71.4,69.8,25.3,22.7,34.4
"Nevada","NV","West",63.9,66.9,62,31.2,31.7,37.2
"New Hampshire","NH","Northeast",61.5,61.8,61.8,21.7,28.3,32.2
"New Jersey","NJ","Northeast",68.5,69.9,67.6,33,35.5,41.2
"New Mexico","NM","West",69.2,72.6,69.4,34.3,37.2,38.6
"New York","NY","Northeast",63.4,63.8,63.2,24.5,29,35.2
"North Carolina","NC","South",73.6,75.1,70.8,41.5,41.8,46.3
"North Dakota","ND","Midwest",62.9,64.6,69.3,12.7,6.7,26.8
"Ohio","OH","Midwest",68.9,70.6,66.9,30.4,32.6,40.5
"Oklahoma","OK","South",76.9,79.4,76.8,38.9,40.1,45
"Oregon","OR","West",57.2,58.3,59.2,31.8,30.6,37.5
"Pennsylvania","PA","Northeast",66,67.1,64.4,28.9,30.6,38
"Rhode Island","RI","Northeast",64.7,66.3,64.9,31,35.5,40.1
"South Carolina","SC","South",77,78.9,74.2,45.6,46.1,49.6
"South Dakota","SD","Midwest",65.7,67.6,69.8,19.7,15.1,31.6
"Tennessee","TN","South",73.8,75.8,72,39.2,40.8,44.5
"Texas","TX","South",79.6,83.8,82.3,46.9,50,51.8
"Utah","UT","West",64,67.6,62.7,27,28.2,32.8
"Vermont","VT","Northeast",61,61.4,61.7,20.2,27.2,31.2
"Virginia","VA","South",70.9,72.2,68,36.8,37.3,42.6
"Washington","WA","West",57.7,58,60.8,30.6,26.3,36.4
"West Virginia","WV","South",68.1,68.7,64.8,33.1,34.4,40
"Wisconsin","WI","Midwest",64.1,65.5,66.7,18.1,19.2,32.3
"Wyoming","WY","West",57.6,59,57.4,20.6,19.6,28.5
"Alaska","AK","West",NA,NA,NA,NA,NA,NA
"District of Columbia","DC","South",NA,NA,NA,NA,NA,NA
"Hawaii","HI","West",NA,NA,NA,NA,NA,NA
