December 2023 Contiguous U.S. Statewide Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,"Alabama",49,89,2.6,46.4
2,"Arizona",45.8,121,4.3,41.5
3,"Arkansas",46.2,115,4.7,41.5
4,"California",48,127,4.9,43.1
5,"Colorado",30.8,123,5.6,25.2
6,"Connecticut",38.8,128,9.6,29.2
7,"Delaware",44,126,7.8,36.2
8,"Florida",61.6,88,2.8,58.8
9,"Georgia",50.5,100,3.4,47.1
10,"Idaho",30.1,125,6.2,23.9
11,"Illinois",39.7,127,10.3,29.4
12,"Indiana",40.1,127,9.8,30.3
13,"Iowa",34.7,129,12,22.7
14,"Kansas",39.2,128,7.7,31.5
15,"Kentucky",42.6,119,6.4,36.2
16,"Louisiana",53.4,98,2.5,50.9
17,"Maine",28.9,128,10.2,18.7
18,"Maryland",42.7,123,7.4,35.3
19,"Massachusetts",37.8,128,9.7,28.1
20,"Michigan",35.3,128,12,23.3
21,"Minnesota",30,129,17.1,12.9
22,"Mississippi",50.6,108,3.8,46.8
23,"Missouri",42.1,127,9.1,33
24,"Montana",31.4,129,10.8,20.6
25,"Nebraska",34.4,129,9.1,25.3
26,"Nevada",37.2,124,6,31.2
27,"New Hampshire",32.2,128,10.5,21.7
28,"New Jersey",41.2,127,8.2,33
29,"New Mexico",38.6,118,4.3,34.3
30,"New York",35.2,128,10.7,24.5
31,"North Carolina",46.3,111,4.8,41.5
32,"North Dakota",26.8,129,14.1,12.7
33,"Ohio",40.5,128,10.1,30.4
34,"Oklahoma",45,126,6.1,38.9
35,"Oregon",37.5,124,5.7,31.8
36,"Pennsylvania",38,128,9.1,28.9
37,"Rhode Island",40.1,128,9.1,31
38,"South Carolina",49.6,105,4,45.6
39,"South Dakota",31.6,129,11.9,19.7
40,"Tennessee",44.5,116,5.3,39.2
41,"Texas",51.8,124,4.9,46.9
42,"Utah",32.8,123,5.8,27
43,"Vermont",31.2,128,11,20.2
44,"Virginia",42.6,118,5.8,36.8
45,"Washington",36.4,127,5.8,30.6
46,"West Virginia",40,122,6.9,33.1
47,"Wisconsin",32.3,129,14.2,18.1
48,"Wyoming",28.5,126,7.9,20.6
