June 2022 Contiguous U.S. Statewide Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,"Alabama",80.4,117,2.9,77.5
2,"Arizona",78.6,119,4.2,74.4
3,"Arkansas",78.1,105,1.6,76.5
4,"California",71.9,115,3.7,68.3
5,"Colorado",64.4,108,3.2,61.2
6,"Connecticut",66.3,79,0.9,65.4
7,"Delaware",72.4,94,1.7,70.7
8,"Florida",82,123,2.5,79.5
9,"Georgia",80.1,118,2.7,77.4
10,"Idaho",57.3,78,0.6,56.7
11,"Illinois",73.5,100,2.1,71.4
12,"Indiana",72.1,94,1.6,70.5
13,"Iowa",71.6,106,2.5,69.1
14,"Kansas",75.8,101,2.5,73.4
15,"Kentucky",74,91,1.4,72.6
16,"Louisiana",82.7,123,2.9,79.8
17,"Maine",60.1,63,0.3,59.8
18,"Maryland",72.1,88,1.5,70.6
19,"Massachusetts",65.6,90,1.2,64.4
20,"Michigan",65,89,1.7,63.3
21,"Minnesota",66.2,101,2.5,63.7
22,"Mississippi",81.2,120,2.9,78.3
23,"Missouri",75.3,105,2.3,73
24,"Montana",58.5,70,0.2,58.3
25,"Nebraska",71.4,105,3.1,68.3
26,"Nevada",66.9,101,3,63.9
27,"New Hampshire",61.8,60,0.3,61.5
28,"New Jersey",69.9,87,1.4,68.5
29,"New Mexico",72.6,116,3.4,69.2
30,"New York",63.8,62,0.4,63.4
31,"North Carolina",75.1,102,1.5,73.6
32,"North Dakota",64.6,90,1.7,62.9
33,"Ohio",70.6,97,1.7,68.9
34,"Oklahoma",79.4,109,2.5,76.9
35,"Oregon",58.3,82,1.1,57.2
36,"Pennsylvania",67.1,84,1.1,66
37,"Rhode Island",66.3,96,1.6,64.7
38,"South Carolina",78.9,107,1.9,77
39,"South Dakota",67.6,90,1.9,65.7
40,"Tennessee",75.8,111,2,73.8
41,"Texas",83.8,125,4.2,79.6
42,"Utah",67.6,107,3.6,64
43,"Vermont",61.4,61,0.4,61
44,"Virginia",72.2,93,1.3,70.9
45,"Washington",58,78,0.3,57.7
46,"West Virginia",68.7,71,0.6,68.1
47,"Wisconsin",65.5,83,1.4,64.1
48,"Wyoming",59,87,1.4,57.6
